12,,
Wavelength (nm),Abs,
649.9767456,-0.002605254995,
648.953125,-0.002375415061,
647.9291992,-0.002618737984,
647.0513306,-0.00291098794,
646.0268555,-0.002576280851,
645.0020752,-0.002441780176,
643.9769897,-0.002283805516,
642.9515991,-0.002796652727,
642.0724487,-0.002671430586,
641.0465088,-0.002914124867,
640.0202637,-0.002740528435,
638.9937134,-0.002717376919,
637.9668579,-0.002581839217,
636.9396973,-0.002611121628,
636.059021,-0.002662117127,
635.031311,-0.002642254811,
634.0032959,-0.002161938464,
632.9749756,-0.002640093677,
631.9463501,-0.002486824291,
631.0643921,-0.002522289986,
630.0352173,-0.002635874087,
629.0057983,-0.002278964501,
627.9760132,-0.002610658528,
626.9459229,-0.002765684854,
626.0628052,-0.002350493567,
625.0321655,-0.002581581706,
624.0012817,-0.002530473983,
622.9700928,-0.002323664958,
621.9385986,-0.002350390423,
621.0541992,-0.002449914115,
620.0221558,-0.002516010311,
618.9898071,-0.002565781819,
617.9572144,-0.002208248014,
617.0718384,-0.002238225425,
616.0386963,-0.002267891541,
615.005249,-0.002074148273,
613.9714966,-0.002312335884,
612.937439,-0.002014014171,
612.0509033,-0.002058226848,
611.0162964,-0.001890679589,
609.9814453,-0.00184639846,
608.9462891,-0.001809691661,
608.0587769,-0.001658191788,
607.0231323,-0.001700171502,
605.9871216,-0.001984330593,
604.9508667,-0.001704451861,
604.062439,-0.001761535066,
603.0256348,-0.001703265705,
601.9885864,-0.001382231363,
600.9511719,-0.001388372621,
600.0618286,-0.001484556822,
599.0239258,-0.001573498012,
597.9857788,-0.001176888589,
596.9473267,-0.001314001041,
596.0569458,-0.001242868952,
595.0180054,-0.001389146782,
593.9787598,-0.001387856551,
592.939209,-0.001447767834,
592.0479736,-0.001265376457,
591.0078735,-0.001133309095,
589.9675293,-0.001433010097,
588.9269409,-0.0009784736903,
588.03479,-0.001089776866,
586.9936523,-0.001359833172,
585.9522095,-0.00108321826,
585.0593872,-0.001202445594,
584.0174561,-0.001108935685,
582.9752808,-0.001262021135,
581.9328003,-0.0007657562383,
581.0390015,-0.001012719935,
