11,,
Wavelength (nm),Abs,
649.9767456,-0.002331337892,
648.953125,-0.002448627027,
647.9291992,-0.002758482704,
647.0513306,-0.003055059817,
646.0268555,-0.002652546391,
645.0020752,-0.002742328914,
643.9769897,-0.002583383117,
642.9515991,-0.00294518494,
642.0724487,-0.002855187049,
641.0465088,-0.002896176884,
640.0202637,-0.002580089262,
638.9937134,-0.002938499907,
637.9668579,-0.002735229442,
636.9396973,-0.002565164119,
636.059021,-0.002782146446,
635.031311,-0.002812238643,
634.0032959,-0.002598564839,
632.9749756,-0.002753749955,
631.9463501,-0.002528826939,
631.0643921,-0.002890262753,
630.0352173,-0.002735177986,
629.0057983,-0.002561458386,
627.9760132,-0.002512252657,
626.9459229,-0.002542981179,
626.0628052,-0.002507620025,
625.0321655,-0.002569693141,
624.0012817,-0.003007709514,
622.9700928,-0.003055111272,
621.9385986,-0.002818874083,
621.0541992,-0.003271540627,
620.0221558,-0.002255788539,
618.9898071,-0.002776642097,
617.9572144,-0.00228493847,
617.0718384,-0.002615032718,
616.0386963,-0.002323047025,
615.005249,-0.002171777654,
613.9714966,-0.002625376452,
612.937439,-0.002360843355,
612.0509033,-0.002290500561,
611.0162964,-0.002311872318,
609.9814453,-0.001899494091,
608.9462891,-0.002077703597,
608.0587769,-0.001676242566,
607.0231323,-0.002026948612,
605.9871216,-0.002016436309,
604.9508667,-0.001720077009,
604.062439,-0.001844387967,
603.0256348,-0.001774941105,
601.9885864,-0.001787779504,
600.9511719,-0.001665463788,
600.0618286,-0.001864750753,
599.0239258,-0.001736165723,
597.9857788,-0.00136411679,
596.9473267,-0.001336556394,
596.0569458,-0.001249373541,
595.0180054,-0.00151896954,
593.9787598,-0.00160042441,
592.939209,-0.001545435051,
592.0479736,-0.001633693231,
591.0078735,-0.0013022325,
589.9675293,-0.001500499551,
588.9269409,-0.001368864905,
588.03479,-0.001129023149,
586.9936523,-0.001817734446,
585.9522095,-0.001085129101,
585.0593872,-0.001086781616,
584.0174561,-0.001290153945,
582.9752808,-0.001488271751,
581.9328003,-0.001075265231,
581.0390015,-0.001046498539,
579.9960327,-0.001301251817,
578.9527588,-0.0008871890022,
578.0583496,-0.001266305684,
577.0145874,-0.001043606317,
575.97052,-0.001147715608,
574.9262085,-0.00134053058,
574.0308838,-0.001028834842,
572.986084,-0.001217365963,
571.940979,-0.001030229381,
571.0449829,-0.0009791452903,
569.9993896,-0.001129074837,
568.9535522,-0.001078570378,
568.0568848,-0.0008511244087,
567.0105591,-0.0009651464061,
565.9639282,-0.0009522319888,
565.0665894,-0.0009728948935,
564.0194702,-0.0008936988888,
562.9721069,-0.001054297318,
562.0741577,-0.0009427266777,
561.0262451,-0.0007828622474,
559.9781494,-0.001143739675,
558.9297485,-0.0009645781829,
558.0308838,-0.0009315680945,
556.9819946,-0.001070359023,
555.9328003,-0.00064196327,
555.0333252,-0.001087452983,
553.9837036,-0.0009180326597,
552.9337769,-0.0009205124807,
552.0336304,-0.0009230439318,
550.9832764,-0.0009308964945,
549.9326172,-0.0009211840807,
549.0318604,-0.001143636415,
547.9807129,-0.0007574355695,
546.9293213,-0.001049907296,
546.0278931,-0.001207814901,
544.9760742,-0.0009330145549,
544.0742188,-0.001143894508,
543.0219116,-0.00121127395,
541.9692993,-0.001746272319,
541.0668335,-0.001518814825,
540.0137939,-0.001170692616,
538.9604492,-0.001125305309,
538.057373,-0.001014011214,
537.00354,-0.001179521787,
535.9495239,-0.001330259605,
535.0458374,-0.001248754095,
533.991272,-0.001227278262,
532.9365234,-0.00109137781,
532.0321655,-0.001326801488,
530.9769287,-0.001381354057,
530.0722656,-0.001305071404,
529.0165405,-0.001463092747,
527.9605713,-0.001312400913,
527.0552368,-0.001436828636,
525.9988403,-0.001154737896,
524.9421387,-0.001379547757,
524.0361938,-0.001506639062,
522.9790649,-0.001412988291,
522.0727539,-0.001573085319,
521.0151978,-0.001299961354,
519.9573364,-0.001759885112,
519.050415,-0.001672168379,
517.9921265,-0.00175916322,
516.9335938,-0.001638386748,
516.026062,-0.001581596676,
514.967041,-0.00164932094,
514.0591431,-0.001537593547,
512.9996948,-0.001996389823,
511.940033,-0.001881813514,
511.0315247,-0.00171889097,
509.9713745,-0.001566688763,
509.0625,-0.001646587392,
508.0019226,-0.001624512253,
506.9411011,-0.001441885484,
506.0316162,-0.001200999948,
504.9703674,-0.001325149788,
504.0605164,-0.001354517299,
502.9988098,-0.001138989115,
501.9368591,-0.001208899077,
501.0264282,-0.001151330071,
499.9640198,-0.001369484235,
499.0532227,-0.001377638313,
497.990387,-0.001453701756,
496.9273376,-0.001498848549,
496.0159607,-0.001296606264,
494.9524536,-0.001601817086,
494.0407104,-0.00137980585,
492.9767761,-0.001339550014,
492.0646362,-0.001775353565,
491.0002747,-0.001593409223,
489.9356689,-0.001507309731,
489.0229797,-0.001609554165,
487.9579468,-0.002059514867,
487.0448914,-0.001954541774,
485.9794617,-0.001805721782,
485.0660095,-0.001898617833,
484.0001526,-0.001856966526,
482.934021,-0.001737764222,
482.02005,-0.001767516253,
480.9535217,-0.00182649889,
480.0391541,-0.001706823939,
478.972229,-0.001626111218,
478.0574951,-0.001465620939,
476.9901428,-0.001427075942,
476.0750732,-0.001374077401,
475.0072632,-0.001277868636,
473.93927,-0.00101674872,
473.0236511,-0.0009135379805,
471.9552307,-0.0008854839834,
471.0392456,-0.000715674716,
469.9703979,-0.0002864631824,
469.0540771,-0.0002727007086,
467.9848328,0.0001049802886,
467.0681458,0.0004867217503,
465.9984741,0.001061585615,
464.9285889,0.001327362028,
464.0113831,0.002049509203,
462.9410706,0.002941837767,
462.0234985,0.003953304607,
460.9528198,0.005574155599,
460.0349121,0.006757701747,
458.9638062,0.008897975087,
458.0455322,0.01227086131,
456.9740295,0.01643228903,
456.0554199,0.02035295218,
454.9835205,0.02625781856,
454.0645752,0.03200439364,
452.9922791,0.04269257188,
452.072998,0.05251294374,
451.0003052,0.06642140448,
449.9273682,0.08573205769,
449.0075684,0.1011253521,
447.9342651,0.1262525916,
447.0141296,0.1521809846,
445.9404297,0.1828904152,
445.019928,0.2147515565,
443.9458618,0.2526729405,
443.0250244,0.2830790877,
441.9505615,0.3213076293,
441.0294189,0.3498493135,
439.9545288,0.382026583,
439.0330505,0.4043918848,
437.9577942,0.4240220785,
437.0360107,0.435765028,
435.9603577,0.4427015781,
435.0382385,0.4427680969,
433.9622192,0.4347395897,
433.0397339,0.4223718941,
431.9633484,0.4033350348,
431.0405579,0.3801306188,
429.9637756,0.3521487117,
429.0406494,0.3247463703,
427.963501,0.2976515293,
427.0400696,0.276915282,
425.9625549,0.2522325516,
425.0387878,0.2315093428,
423.9608765,0.2104345411,
423.0368042,0.1957127005,
421.9585571,0.180630967,
421.0341492,0.1705447286,
419.9555054,0.1588111669,
419.0307922,0.1504192054,
417.9517822,0.1427459717,
417.0267639,0.1385310441,
415.9473877,0.1347226053,
415.0220642,0.1317831427,
413.9423218,0.1304329336,
413.0166626,0.1296134442,
411.936554,0.1303665638,
411.0105896,0.1310882568,
409.9301453,0.1335120499,
409.0038757,0.1371101737,
407.9230347,0.1418137997,
406.99646,0.1464439332,
406.0697632,0.1509160101,
404.9884033,0.1580546796,
404.0613708,0.1644939929,
402.9796753,0.1710753143,
402.0523682,0.1775186062,
400.9703064,0.1849831343,
400.0426941,0.1933833957,
398.9602661,0.2053849697,
398.0323486,0.2152695507,
396.949585,0.2277145833,
396.0213623,0.2374806702,
394.9382629,0.251834631,
394.0097351,0.2640878856,
392.9263,0.2768019438,
391.997467,0.2876900434,
391.068512,0.2941520214,
389.9845886,0.3033175766,
389.0553284,0.309835583,
387.9710388,0.3156264424,
387.0415039,0.3194177151,
385.9568481,0.3226976097,
385.0270386,0.3257146478,
383.9420471,0.3302076161,
383.0119324,0.3339622021,
381.9266357,0.338964045,
380.9962158,0.3430134356,
380.0656738,0.3472715914,
378.9798889,0.3532744646,
378.0490723,0.3580867946,
376.9629517,0.3621961176,
376.0318298,0.3663243353,
374.9453735,0.3712190092,
374.0139771,0.3746041358,
372.9271851,0.3788463473,
371.9955139,0.3818620741,
371.0637207,0.3851358891,
369.9764709,0.3890824318,
369.0443726,0.3924897909,
367.9567871,0.3961011469,
367.0244446,0.3991042674,
365.9365234,0.4030643702,
365.0039063,0.4059293568,
364.0711365,0.4092573822,
362.9827576,0.4129160643,
362.0497437,0.4154422879,
360.9610291,0.4177854955,
360.0277405,0.4207567871,
358.9387207,0.4233399928,
358.0051575,0.4256253839,
357.0714417,0.4281246364,
355.9819641,0.4309934378,
355.0480042,0.433098495,
353.9582214,0.4358508289,
353.0239868,0.4384430647,
351.9338989,0.442055136,
350.9993896,0.4454495311,
350.0647888,0.4487872422,

