13,,
Wavelength (nm),Abs,
649.9767456,-0.001025839127,
648.953125,-0.001215972123,
647.9291992,-0.00112783548,
647.0513306,-0.001949336263,
646.0268555,-0.001475321245,
645.0020752,-0.001663039788,
643.9769897,-0.00159150071,
642.9515991,-0.002325210022,
642.0724487,-0.002247805241,
641.0465088,-0.001967374934,
640.0202637,-0.002393796574,
638.9937134,-0.002376753837,
637.9668579,-0.002256406471,
636.9396973,-0.002305486705,
636.059021,-0.00250561256,
635.031311,-0.002609526506,
634.0032959,-0.002267685719,
632.9749756,-0.002635153709,
631.9463501,-0.002233589767,
631.0643921,-0.00268825586,
630.0352173,-0.002301109256,
629.0057983,-0.002418303862,
627.9760132,-0.002806888893,
626.9459229,-0.002806323115,
626.0628052,-0.002367794514,
625.0321655,-0.002741094213,
624.0012817,-0.002579780528,
622.9700928,-0.002834253479,
621.9385986,-0.002824223367,
621.0541992,-0.003190963995,
620.0221558,-0.0028332246,
618.9898071,-0.003057938768,
617.9572144,-0.002808432095,
617.0718384,-0.002662065672,
616.0386963,-0.002966987202,
615.005249,-0.002614569617,
613.9714966,-0.002883062698,
612.937439,-0.002827258082,
612.0509033,-0.00280637457,
611.0162964,-0.002614878351,
609.9814453,-0.002368927468,
608.9462891,-0.002371862298,
608.0587769,-0.002095067175,
607.0231323,-0.002380873077,
605.9871216,-0.002438691212,
604.9508667,-0.002059102757,
604.062439,-0.002220507013,
603.0256348,-0.002271084813,
601.9885864,-0.002192846267,
600.9511719,-0.002159877913,
600.0618286,-0.002410272136,
599.0239258,-0.002336899284,
597.9857788,-0.002216849942,
596.9473267,-0.002174095949,
596.0569458,-0.001849182299,
595.0180054,-0.002199439798,
593.9787598,-0.002271084813,
592.939209,-0.002273299266,
592.0479736,-0.002389471512,
591.0078735,-0.002148286905,
589.9675293,-0.002349618124,
588.9269409,-0.00237453985,
588.03479,-0.00213772594,
586.9936523,-0.002557186643,
585.9522095,-0.002200933406,
585.0593872,-0.002113408875,
584.0174561,-0.001976703061,
582.9752808,-0.002120518591,
581.9328003,-0.00179247139,
581.0390015,-0.002168789972,
579.9960327,-0.002120003337,
578.9527588,-0.001920369687,
578.0583496,-0.002063740045,
577.0145874,-0.001931451377,
575.97052,-0.001732607605,
574.9262085,-0.001843820908,
574.0308838,-0.001634363667,
572.986084,-0.001822271384,
571.940979,-0.001868101419,
571.0449829,-0.001667681499,
569.9993896,-0.001794224372,
568.9535522,-0.001930678263,
568.0568848,-0.00167634571,
567.0105591,-0.001569474349,
565.9639282,-0.001811547671,
565.0665894,-0.001661750488,
564.0194702,-0.001565450686,
562.9721069,-0.001872586203,
562.0741577,-0.00170909299,
561.0262451,-0.001795204007,
559.9781494,-0.001894545625,
558.9297485,-0.001738279825,
558.0308838,-0.001751789707,
556.9819946,-0.001899184776,
555.9328003,-0.001448438736,
555.0333252,-0.001757049118,
553.9837036,-0.001780406572,
552.9337769,-0.001585001242,
552.0336304,-0.001705792616,
550.9832764,-0.001611617394,
549.9326172,-0.001561994432,
